team_key,alliance,alliance_team_key,alliance_is_winner,match_key,event_key,comp_level,set_number,match_number,alliance_score,alliance_adjustPoints,alliance_autoAmpNoteCount,alliance_autoAmpNotePoints,alliance_autoLeavePoints,autoLineRobot,alliance_autoPoints,alliance_autoSpeakerNoteCount,alliance_autoSpeakerNotePoints,alliance_autoTotalNotePoints,alliance_coopNotePlayed,alliance_coopertitionBonusAchieved,alliance_coopertitionCriteriaMet,alliance_endGameHarmonyPoints,alliance_endGameNoteInTrapPoints,alliance_endGameOnStagePoints,alliance_endGameParkPoints,endGameRobot,alliance_endGameSpotLightBonusPoints,alliance_endGameTotalStagePoints,alliance_ensembleBonusAchieved,alliance_ensembleBonusOnStageRobotsThreshold,alliance_ensembleBonusStagePointsThreshold,alliance_foulCount,alliance_foulPoints,alliance_g206Penalty,alliance_g408Penalty,alliance_g424Penalty,alliance_melodyBonusAchieved,alliance_melodyBonusThreshold,alliance_melodyBonusThresholdCoop,alliance_melodyBonusThresholdNonCoop,alliance_micCenterStage,alliance_micStageLeft,alliance_micStageRight,alliance_rp,alliance_techFoulCount,alliance_teleopAmpNoteCount,alliance_teleopAmpNotePoints,alliance_teleopPoints,alliance_teleopSpeakerNoteAmplifiedCount,alliance_teleopSpeakerNoteAmplifiedPoints,alliance_teleopSpeakerNoteCount,alliance_teleopSpeakerNotePoints,alliance_teleopTotalNotePoints,alliance_totalPoints,alliance_trapCenterStage,alliance_trapStageLeft,alliance_trapStageRight
frc6230,red,red1,False,2024isde1_qm2,2024isde1,qm,1,2,24,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,0,None,0,0,False,2,10,2,0,False,False,False,False,18,15,18,False,False,False,0,3,6,6,22,2,10,3,6,22,24,False,False,False
frc6740,red,red2,False,2024isde1_qm2,2024isde1,qm,1,2,24,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,0,None,0,0,False,2,10,2,0,False,False,False,False,18,15,18,False,False,False,0,3,6,6,22,2,10,3,6,22,24,False,False,False
frc7177,red,red3,False,2024isde1_qm2,2024isde1,qm,1,2,24,0,0,0,2,Yes,2,0,0,0,False,False,False,0,0,0,0,None,0,0,False,2,10,2,0,False,False,False,False,18,15,18,False,False,False,0,3,6,6,22,2,10,3,6,22,24,False,False,False
frc1577,blue,blue1,False,2024isde1_qm27,2024isde1,qm,1,27,12,0,0,0,2,Yes,2,0,0,0,False,False,False,0,0,0,1,None,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,2,1,1,10,0,0,4,8,9,12,False,False,False
frc9303,blue,blue2,False,2024isde1_qm27,2024isde1,qm,1,27,12,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,1,Parked,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,2,1,1,10,0,0,4,8,9,12,False,False,False
frc6230,blue,blue3,False,2024isde1_qm27,2024isde1,qm,1,27,12,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,1,None,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,2,1,1,10,0,0,4,8,9,12,False,False,False
frc5135,red,red1,False,2024isde1_qm3,2024isde1,qm,1,3,15,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,1,None,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,0,2,2,13,0,0,5,10,12,15,False,False,False
frc1574,red,red2,False,2024isde1_qm3,2024isde1,qm,1,3,15,0,0,0,2,Yes,2,0,0,0,False,False,False,0,0,0,1,None,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,0,2,2,13,0,0,5,10,12,15,False,False,False
frc9740,red,red3,False,2024isde1_qm3,2024isde1,qm,1,3,15,0,0,0,2,No,2,0,0,0,False,False,False,0,0,0,1,Parked,0,1,False,2,10,0,0,False,False,False,False,18,15,18,False,False,False,0,0,2,2,13,0,0,5,10,12,15,False,False,False
frc9740,red,red1,False,2024isde1_qm38,2024isde1,qm,1,38,30,0,0,0,2,No,2,0,0,0,True,True,True,0,0,3,2,Parked,0,5,False,2,10,0,0,False,False,False,False,15,15,18,False,False,False,0,0,4,4,28,1,5,7,14,23,30,False,False,False
